Date,USDSGD1,STI ind
20090505,1.47150,445.45
20090506,1.46550,462.89
20090507,1.46300,468.7
20090508,1.46120,469.59
20090511,1.45930,465.8
20090512,1.46350,465.67
20090513,1.46470,467.2
20090514,1.46830,453.81
20090515,1.46530,450.47
20090518,1.46160,449.14
20090519,1.45690,465.95
20090520,1.45800,478.44
20090521,1.44060,477.18
20090522,1.44060,477.18
20090525,1.44820,492.3
20090526,1.45050,491.38
20090527,1.45120,499.74
20090528,1.44530,499.3
20090529,1.44180,509.27
20090601,1.43800,521.66
20090602,1.44300,515.12
20090603,1.44550,521.35
20090604,1.45200,514.21
20090605,1.45750,513.22
20090608,1.45610,494.42
20090609,1.45400,498.89
20090610,1.44800,511.43
20090611,1.44940,511.51
20090612,1.46080,513.23
20090615,1.45880,500.04
20090616,1.45840,488.96
20090617,1.45430,485.75
20090618,1.45280,480.35
20090619,1.45860,489.11
20090622,1.45580,495.34
20090623,1.45340,479.85
20090624,1.45680,488.15
20090625,1.45360,493.31
20090626,1.45270,499.79
20090629,1.44800,501.3
20090630,1.44300,504.42
20090701,1.45120,510.5
20090702,1.45300,506.89
20090703,1.45600,498.99
20090706,1.45800,489.87
20090707,1.46390,486.6
20090708,1.45810,480.8
20090709,1.46330,490.6
20090710,1.46250,490.27
20090713,1.45940,483.5
20090714,1.45160,490.92
20090715,1.45200,505.12
20090716,1.44940,505.97
20090717,1.44000,511.37
20090720,1.44290,520.74
20090721,1.44230,520.82
20090722,1.43880,519.82
20090723,1.43950,526.5
20090724,1.43970,538.28
20090727,1.43980,541.92
20090728,1.44650,551.39
20090729,1.44300,551.93
20090730,1.43900,559.99
20090731,1.43230,564.6
20090803,1.43250,572.17
20090804,1.43400,569.94
20090805,1.43600,568.89
20090806,1.44000,567.79
20090807,1.44220,556.72
20090811,1.44780,565.05
20090812,1.44300,560.75
20090813,1.44250,569.51
20090814,1.44480,572.08
20090817,1.45050,552.89
20090818,1.45100,554.08
20090819,1.44870,540.08
20090820,1.44510,548.27
20090821,1.43920,543.63
20090824,1.44120,557.65
20090825,1.44080,557.88
20090826,1.44590,559.7
20090827,1.44480,563.93
20090828,1.43810,561.42
20090831,1.44140,555.16
20090901,1.44400,555.25
20090902,1.44280,546.17
20090903,1.43920,552.25
20090904,1.43800,554.57
20090907,1.43800,556.01
20090908,1.42590,564.28
20090909,1.42370,563.61
20090910,1.42650,580.12
20090911,1.42170,579.82
20090914,1.42240,578.32
20090915,1.42180,574.22
20090916,1.41170,582.81
20090917,1.41320,580.23
20090918,1.41620,577.46
20090922,1.41630,586.3
20090923,1.41200,589.13
20090924,1.41290,584.82
20090925,1.41600,580.22
20090928,1.41440,569.52
20090929,1.41620,579.91
20090930,1.41860,576.98
20091001,1.40870,579.31
20091002,1.41420,564.79
20091005,1.41330,560.25
20091006,1.41050,563.32
20091007,1.40000,572.43
20091008,1.40100,578.4
20091009,1.38980,578.61
20091012,1.39270,582.55
20091013,1.39270,579.23
20091014,1.39750,589.45
20091015,1.39140,588.86
20091016,1.38900,591.47
20091019,1.39190,590.35
20091020,1.38910,589.51
20091021,1.39600,586.86
20091022,1.39100,586.28
20091023,1.39480,596.61
20091026,1.39290,596.24
20091027,1.39470,592.7
20091028,1.39780,581.44
20091029,1.40150,578.41
20091030,1.39820,580.92
20091102,1.39800,577.17
20091103,1.39650,572.15
20091104,1.40180,578
20091105,1.39580,572.32
20091106,1.39560,573.28
20091109,1.39280,581.73
20091110,1.38620,582.44
20091111,1.38780,588.18
20091112,1.38780,583.93
20091113,1.38890,585.49
20091116,1.38620,596.74
20091117,1.38490,589.09
20091118,1.38770,590.68
20091119,1.38290,593.8
20091120,1.38900,595.54
20091123,1.38800,605.57
20091124,1.38580,607.12
20091125,1.38570,608.66
20091126,1.37950,601.96
20091130,1.37950,594.2
20091201,1.38700,601.66
20091202,1.38450,603.44
20091203,1.37960,605.92
20091204,1.37960,604.99
20091207,1.38060,607.9
20091208,1.38650,609.44
20091209,1.38900,605.19
20091210,1.39260,603.06
20091211,1.38990,601.52
20091214,1.38920,601.04
20091215,1.39240,601.91
20091216,1.39130,599.43
20091217,1.39430,600.07
20091218,1.39640,599.55
20091221,1.40400,597.98
20091222,1.40330,606.17
20091223,1.40530,611.89
20091224,1.40760,610.12
20091228,1.40820,615.1
20091229,1.40700,618.6
20091230,1.40700,618.22
20091231,1.40600,621.69
20100104,1.40450,623.09
20100105,1.40480,628.98
20100106,1.40350,633.59
20100107,1.40350,637.87
20100108,1.39710,638.51
20100111,1.39560,643.07
20100112,1.39450,638.93
20100113,1.39710,633.09
20100114,1.39410,635.14
20100115,1.38780,636.33
20100118,1.38840,639.68
20100119,1.38850,641.06
20100120,1.38790,636.78
20100121,1.39100,623.88
20100122,1.39100,619.21
20100125,1.39080,615.58
20100126,1.40060,599.75
20100127,1.40100,596.36
20100128,1.40200,605.44
20100129,1.39950,601.09
20100201,1.40440,598.09
20100202,1.40440,596.64
20100203,1.40250,604.36
20100204,1.40550,605.96
20100205,1.41220,592.75
20100208,1.40920,591.08
20100209,1.41210,595.6
20100210,1.42000,597.33
20100211,1.42280,602.42
20100212,1.42140,605.13
20100217,1.41650,615.48
20100218,1.41780,609
20100219,1.41290,602.93
20100222,1.41150,605.81
20100223,1.41150,611
20100224,1.40590,609.01
20100225,1.40630,607.64
20100226,1.40770,608.68
20100301,1.41260,617.76
20100302,1.40850,618.07
20100303,1.41050,618.51
20100304,1.40850,619.57
20100305,1.41070,623.86
20100308,1.40490,636.95
20100309,1.40590,642.9
20100310,1.40350,650.25
20100311,1.39810,656.7
20100312,1.40010,657.32
20100315,1.39910,660.96
20100316,1.39920,661.99
20100317,1.39830,666.1
20100318,1.39760,665.93
20100319,1.39770,670.04
20100322,1.39400,663.73
20100323,1.39810,667.75
20100324,1.39490,662.29
20100325,1.39300,662.17
20100326,1.39600,666.15
20100329,1.39800,669.02
20100330,1.40250,665.35
20100331,1.39990,660.95
20100401,1.40550,678.08
20100405,1.40550,691.56
20100406,1.40330,693.29
20100407,1.39880,699.39
20100408,1.39970,688.72
20100409,1.39860,693.18
20100412,1.39650,693.99
20100413,1.39850,696.07
20100414,1.39710,703.87
20100415,1.39660,705.86
20100416,1.39460,705.69
20100419,1.39410,697.05
20100420,1.38900,707.22
20100421,1.39020,700.05
20100422,1.39220,703.76
20100423,1.37320,706.99
20100426,1.37440,711.94
20100427,1.37460,711.06
20100428,1.37950,695
20100429,1.37490,697.18
20100430,1.37230,699.92
20100503,1.37330,694.6
20100504,1.37100,685.95
20100505,1.36790,676.98
20100506,1.37220,660.89
20100507,1.37630,658.76
20100510,1.36830,674.52
20100511,1.37010,670.15
20100512,1.37170,679.66
20100513,1.37830,674.66
20100514,1.39150,673.49
20100517,1.39750,662.71
20100518,1.39510,669.71
20100519,1.38040,651.84
20100520,1.38080,642.86
20100521,1.38000,629.63
20100524,1.38130,637.02
20100525,1.38680,618.29
20100526,1.39320,631.79
20100527,1.38830,645.46
20100531,1.39970,650.18
20100601,1.41000,642.43
20100602,1.40800,642.38
