S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,No. of Units,Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Option Exercised / Sales Agreement Signed,unit price bin,Tenure 2
1,TANGLIN REGENCY,TANGLIN ROAD,Condominium,10,CCR,99 yrs lease commencing from 1994,1,1340000,1109,Strata,01 to 05,1209,8/1/2014,1000-1499,<105
3,RIDGEWOOD,MOUNT SINAI DRIVE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,1530000,1367,Strata,01 to 05,1119,8/1/2014,1000-1499,>900 / Freehold
7,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,4888000,2131,Strata,11 to 15,2293,8/1/2014,2000-2499,>900 / Freehold
9,SOMMERVILLE PARK,FARRER DRIVE,Condominium,10,CCR,Freehold,1,2800000,1927,Strata,01 to 05,1453,8/1/2014,1000-1499,>900 / Freehold
11,STEVENS SUITES,STEVENS CLOSE,Apartment,10,CCR,Freehold,1,3280000,1970,Strata,01 to 05,1665,8/1/2014,1500-1999,>900 / Freehold
12,MELROSE PARK,KELLOCK ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,2350000,1550,Strata,01 to 05,1516,8/1/2014,1500-1999,>900 / Freehold
14,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,965000,452,Strata,01 to 05,2135,8/1/2014,2000-2499,>900 / Freehold
16,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1680000,861,Strata,01 to 05,1951,8/1/2014,1500-1999,>900 / Freehold
20,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,4470000,2131,Strata,01 to 05,2097,8/1/2014,2000-2499,>900 / Freehold
21,VIZ AT HOLLAND,QUEENSWAY,Condominium,10,CCR,Freehold,1,1600000,1109,Strata,06 to 10,1443,8/1/2014,1000-1499,>900 / Freehold
23,BOTANIC GARDENS MANSION,TAMAN SERASI,Apartment,10,CCR,Freehold,1,2700000,1755,Strata,06 to 10,1539,8/1/2014,1500-1999,>900 / Freehold
27,GARDENVILLE,WALSHE ROAD,Condominium,10,CCR,Freehold,1,4250000,2874,Strata,06 to 10,1479,8/1/2014,1000-1499,>900 / Freehold
34,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,3200000,2486,Strata,11 to 15,1287,8/1/2014,1000-1499,>900 / Freehold
37,SHEARES VILLE,HOLT ROAD,Apartment,10,CCR,Freehold,1,2080000,1399,Strata,01 to 05,1486,8/1/2014,1000-1499,>900 / Freehold
39,TOMLINSON HEIGHTS,TOMLINSON ROAD,Apartment,10,CCR,Freehold,1,8300000,2734,Strata,21 to 25,3036,8/1/2014,3000-3499,>900 / Freehold
40,CUSCADEN RESIDENCES,CUSCADEN ROAD,Condominium,10,CCR,Freehold,1,3000000,1485,Strata,16 to 20,2020,8/1/2014,2000-2499,>900 / Freehold
