S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,No. of Units,Price ($),Area,Type of Area,Floor Level,Unit Price ($psf),Date of Option Exercised / Sales Agreement Signed
1,TANGLIN REGENCY,TANGLIN ROAD,Condominium,10,CCR,99 yrs lease commencing from 1994,1,1340000,1109,Strata,01 to 05,1209,14-Aug
2,RIDGEWOOD,MOUNT SINAI DRIVE,Condominium,10,CCR,999 yrs lease commencing from 1885,1,1530000,1367,Strata,01 to 05,1119,14-Aug
3,HALLMARK RESIDENCES,EWE BOON ROAD,Condominium,10,CCR,Freehold,1,1937000,990,Strata,01 to 05,1956,14-Aug
4,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,Condominium,10,CCR,Freehold,1,4888000,2131,Strata,11 to 15,2293,14-Aug
5,STEVENS SUITES,STEVENS CLOSE,Apartment,10,CCR,Freehold,1,3280000,1970,Strata,01 to 05,1665,14-Aug
6,SOMMERVILLE PARK,FARRER DRIVE,Condominium,10,CCR,Freehold,1,2800000,1927,Strata,01 to 05,1453,14-Aug
7,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,965000,452,Strata,01 to 05,2135,14-Aug
8,MELROSE PARK,KELLOCK ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,2350000,1550,Strata,01 to 05,1516,14-Aug
9,RV RESIDENCES,RIVER VALLEY ROAD,Condominium,10,CCR,999 yrs lease commencing from 1877,1,1680000,861,Strata,01 to 05,1951,14-Aug
10,LEEDON RESIDENCE,LEEDON HEIGHTS,Condominium,10,CCR,Freehold,1,4470000,2131,Strata,01 to 05,2097,14-Aug
11,VIZ AT HOLLAND,QUEENSWAY,Condominium,10,CCR,Freehold,1,1600000,1109,Strata,06 to 10,1443,14-Aug
12,BOTANIC GARDENS MANSION,TAMAN SERASI,Apartment,10,CCR,Freehold,1,2700000,1755,Strata,06 to 10,1539,14-Aug
13,GARDENVILLE,WALSHE ROAD,Condominium,10,CCR,Freehold,1,4250000,2874,Strata,06 to 10,1479,14-Aug
14,THE MONTANA,JALAN MUTIARA,Apartment,10,CCR,Freehold,1,3200000,2486,Strata,11 to 15,1287,14-Aug
15,SHEARES VILLE,HOLT ROAD,Apartment,10,CCR,Freehold,1,2080000,1399,Strata,01 to 05,1486,14-Aug
