id,name,price,cost,Y,Yalternate,X1,X2,X3,X4,X5,type,D6,D7,D8,D9,D10,drive,D11,D12
1,Chevrolet Aveo 4dr,"11,690","10,965",28,34,2.370,1.03,1.6,4,0.98,sedan,0,0,0,0,0,fwd,0,0
2,Chevrolet Aveo LS 4dr hatch,"12,585","11,802",28,34,2.348,1.03,1.6,4,0.98,sedan,0,0,0,0,0,fwd,0,0
3,Chevrolet Cavalier 2dr,"14,610","13,697",26,37,2.617,1.40,2.2,4,1.04,sedan,0,0,0,0,0,fwd,0,0
4,Chevrolet Cavalier 4dr,"14,810","13,884",26,37,2.676,1.40,2.2,4,1.04,sedan,0,0,0,0,0,fwd,0,0
5,Chevrolet Cavalier LS 2dr,"16,385","15,357",26,37,2.617,1.40,2.2,4,1.04,sedan,0,0,0,0,0,fwd,0,0
6,Dodge Neon SE 4dr,"13,670","12,849",29,36,2.581,1.32,2.0,4,1.05,sedan,0,0,0,0,0,fwd,0,0
7,Dodge Neon SXT 4dr,"15,040","14,086",29,36,2.626,1.32,2.0,4,1.05,sedan,0,0,0,0,0,fwd,0,0
8,Ford Focus ZX3 2dr hatch,"13,270","12,482",26,33,2.612,1.30,2.0,4,1.03,sedan,0,0,0,0,0,fwd,0,0
9,Ford Focus LX 4dr,"13,730","12,906",27,36,2.606,1.10,2.0,4,1.03,sedan,0,0,0,0,0,fwd,0,0
10,Ford Focus SE 4dr,"15,460","14,496",26,33,2.606,1.30,2.0,4,1.03,sedan,0,0,0,0,0,fwd,0,0
11,Ford Focus ZX5 5dr,"15,580","14,607",26,33,2.691,1.30,2.0,4,1.03,sedan,0,0,0,0,0,fwd,0,0
12,Honda Civic DX 2dr,"13,270","12,175",32,38,2.432,1.15,1.7,4,1.03,sedan,0,0,0,0,0,fwd,0,0
13,Honda Civic HX 2dr,"14,170","12,996",36,44,2.500,1.17,1.7,4,1.03,sedan,0,0,0,0,0,fwd,0,0
14,Honda Civic LX 4dr,"15,850","14,531",32,38,2.513,1.15,1.7,4,1.03,sedan,0,0,0,0,0,fwd,0,0
15,Hyundai Accent 2dr hatch,"10,539","10,107",29,33,2.255,1.03,1.6,4,0.96,sedan,0,0,0,0,0,fwd,0,0
16,Hyundai Accent GL 4dr,"11,839","11,116",29,33,2.290,1.03,1.6,4,0.96,sedan,0,0,0,0,0,fwd,0,0
17,Hyundai Accent GT 2dr hatch,"11,939","11,209",29,33,2.339,1.03,1.6,4,0.96,sedan,0,0,0,0,0,fwd,0,0
18,Hyundai Elantra GLS 4dr,"13,839","12,781",26,34,2.635,1.38,2.0,4,1.03,sedan,0,0,0,0,0,fwd,0,0
19,Hyundai Elantra GT 4dr,"15,389","14,207",26,34,2.635,1.38,2.0,4,1.03,sedan,0,0,0,0,0,fwd,0,0
20,Hyundai Elantra GT 4dr hatch,"15,389","14,207",26,34,2.698,1.38,2.0,4,1.03,sedan,0,0,0,0,0,fwd,0,0
21,Kia Optima LX 4dr,"16,040","14,910",23,30,3.281,1.38,2.4,4,1.06,sedan,0,0,0,0,0,fwd,0,0
22,Kia Rio 4dr manual,"10,280","9,875",26,33,2.403,1.04,1.6,4,0.95,sedan,0,0,0,0,0,fwd,0,0
23,Kia Rio 4dr auto,"11,155","10,705",25,32,2.458,1.04,1.6,4,0.95,sedan,0,0,0,0,0,fwd,0,0
24,Kia Spectra 4dr,"12,360","11,630",24,32,2.661,1.24,1.8,4,1.01,sedan,0,0,0,0,0,fwd,0,0
25,Kia Spectra GS 4dr hatch,"13,580","12,830",24,32,2.686,1.24,1.8,4,1.01,sedan,0,0,0,0,0,fwd,0,0
26,Kia Spectra GSX 4dr hatch,"14,630","13,790",24,32,2.697,1.24,1.8,4,1.01,sedan,0,0,0,0,0,fwd,0,0
27,Mini Cooper,"16,999","15,437",28,37,2.524,1.15,1.6,4,0.97,sedan,0,0,0,0,0,fwd,0,0
