id,Y,X1,X2,X3,X4,X5,X6
1,388,2.18,4,3,4,-3,0
2,450,2.054,5,3,4,-1.3,2
3,386,2.112,5,2,4,-1.5,2
4,350,1.442,6,1,2,-1.4,1
5,155.5,1.8,1,2,4,2.4,1
6,220,1.965,5,2,3,-3,1
7,239.5,1.8,4,1.1,4,-1.2,1
8,207,2.254,4,2,4,-0.9,2
9,269.9,1.922,4,2.1,4,-0.5,2
10,238.8,1.92,5,2.1,3,-0.2,2
11,359.9,2.2,5,2,3,0,2
12,249.7,1.868,4,2,4,-0.5,2
13,265,1.875,4,2.1,3,0.9,2
14,349,2,5,2,3,2.7,2
15,319,1.855,4,2,4,-4.5,2
16,339,1.928,5,3,3,0.2,2
17,283,1.98,4,3,4,0.1,2
18,275,1.528,3,2.1,3,0.5,2
19,299.9,1.882,3,2.1,3,0.6,2
20,277,1.44,3,2,3,-2.2,2
21,299,1.994,8,3,2,3.5,3
22,185,1.86,4,2,5,-1.7,0
23,232,2.031,4,2,4,-2,0
24,214.9,1.868,5,2,4,-0.4,2
25,195,2.112,4,2,3,-0.4,2
26,256,1.974,4,2,3,-0.9,2
27,269.7,2.1,4,2,4,-0.1,2
28,330,1.894,2,2,3,-2,1
29,249.9,1.804,5,2,3,-1,2
30,279.9,2.01,5,2,3,-0.1,2
31,325,1.661,4,1.1,3,0.4,2
32,259.9,1.708,4,2,4,-3.3,0
33,324.5,1.8,2,2.1,3,3,1
34,359.9,1.968,3,3,3,1,2
35,252.5,1.888,2,2,6,-5,0
36,269,1.8,3,3,5,-2.3,0
37,235,1.712,5,1,3,-2.2,1
38,256.5,2.2,4,2.1,3,-0.4,2
39,319.9,1.92,7,2.1,3,3.4,2
40,355,2.129,5,2,3,3.3,2
41,285,2.235,7,3.1,4,0.5,2
42,242,2.279,5,2.1,4,-2.1,1
43,197,1.85,3,2,4,-0.6,1
44,281.8,1.886,4,2,3,3.5,2
45,259,2.08,2,2,4,-0.1,2
46,189.5,1.906,3,2.1,3,0.5,0
47,339.9,2.048,5,2,2,2.3,3
48,297,2.106,4,2.1,3,2.5,2
49,295,2.028,4,3,5,2.2,2
50,222.5,1.794,4,2,3,-1,0
51,199,2.016,3,2,5,-0.7,1
52,385.5,1.904,4,1.1,3,-5.1,1
53,230,2.234,3,3,4,0.2,2
54,285,2.269,3,3.1,4,-6.5,0
55,243,1.81,4,3,3,-0.9,2
56,217,1.875,4,2,3,-0.9,0
57,259.9,1.683,5,2.1,3,0.9,1
58,349.5,2.08,4,2.1,3,3.5,2
59,345,2.126,1,3.1,3,3.5,2
60,336,2.126,1,3.1,3,3.5,2
61,333.8,2.126,1,3.1,3,3.5,2
62,340,2.126,1,3.1,3,3.5,2
63,345,2.126,1,3.1,3,3.5,2
64,374.5,1.712,5,1.1,3,-6.2,2
65,236.5,1.95,4,3,4,-0.4,2
66,350,2.02,7,2,3,0.6,2
67,270,2.053,3,2.1,3,0.7,2
68,299,1.743,3,2,3,1.8,2
69,285,1.878,5,2.1,3,0.5,2
70,255,1.9,4,2,3,1,2
71,259,2.208,4,3,3,0.9,2
72,249.9,2.081,5,2.1,4,0,1
73,215,2.044,1,1.1,4,-3.4,0
74,435,2.253,11,2,3,0.9,2
75,274.9,1.861,4,2,4,2.5,2
76,349.5,2.896,4,3,5,0.9,2
77,,1.879,4,2.1,3,0.5,2
