id,Y,X1,X2,X3,X4,year,X5,X6,status,D7,elem,D8,D9,D10,D11,D12
1,388,2.18,4,3,4,1940,-3,0,sld,0,edison,1,0,0,0,0
2,450,2.054,5,3,4,1957,-1.3,2,sld,0,edison,1,0,0,0,0
3,386,2.112,5,2,4,1955,-1.5,2,sld,0,edison,1,0,0,0,0
4,350,1.442,6,1,2,1956,-1.4,1,act,1,adams,0,0,1,0,0
5,155.5,1.8,1,2,4,1994,2.4,1,sld,0,adams,0,0,1,0,0
6,220,1.965,5,2,3,1940,-3,1,sld,0,adams,0,0,1,0,0
7,239.5,1.8,4,1.1,4,1958,-1.2,1,act,1,parker,0,0,0,0,1
8,207,2.254,4,2,4,1961,-0.9,2,sld,0,parker,0,0,0,0,1
9,269.9,1.922,4,2.1,4,1965,-0.5,2,act,1,parker,0,0,0,0,1
10,238.8,1.92,5,2.1,3,1968,-0.2,2,sld,0,parker,0,0,0,0,1
11,359.9,2.2,5,2,3,1970,0,2,act,1,edge,0,0,0,0,0
12,249.7,1.868,4,2,4,1965,-0.5,2,sld,0,edge,0,0,0,0,0
13,265,1.875,4,2.1,3,1979,0.9,2,sld,0,edge,0,0,0,0,0
14,349,2,5,2,3,1997,2.7,2,pen,0,edge,0,0,0,0,0
15,319,1.855,4,2,4,1925,-4.5,2,sld,0,harris,0,1,0,0,0
16,339,1.928,5,3,3,1972,0.2,2,act,1,edge,0,0,0,0,0
17,283,1.98,4,3,4,1971,0.1,2,act,1,edge,0,0,0,0,0
18,275,1.528,3,2.1,3,1975,0.5,2,act,1,edge,0,0,0,0,0
19,299.9,1.882,3,2.1,3,1976,0.6,2,act,1,edge,0,0,0,0,0
20,277,1.44,3,2,3,1948,-2.2,2,act,1,edison,1,0,0,0,0
21,299,1.994,8,3,2,2005,3.5,3,pen,0,parker,0,0,0,0,1
22,185,1.86,4,2,5,1953,-1.7,0,sld,0,parker,0,0,0,0,1
23,232,2.031,4,2,4,1950,-2,0,sld,0,parker,0,0,0,0,1
24,214.9,1.868,5,2,4,1966,-0.4,2,sld,0,edge,0,0,0,0,0
25,195,2.112,4,2,3,1966,-0.4,2,sld,0,edge,0,0,0,0,0
26,256,1.974,4,2,3,1961,-0.9,2,sld,0,harris,0,1,0,0,0
27,269.7,2.1,4,2,4,1969,-0.1,2,act,1,parker,0,0,0,0,1
28,330,1.894,2,2,3,1950,-2,1,sld,0,edison,1,0,0,0,0
29,249.9,1.804,5,2,3,1960,-1,2,pen,0,edge,0,0,0,0,0
30,279.9,2.01,5,2,3,1969,-0.1,2,pen,0,edison,1,0,0,0,0
31,325,1.661,4,1.1,3,1974,0.4,2,act,1,crest,0,0,0,1,0
32,259.9,1.708,4,2,4,1937,-3.3,0,act,1,crest,0,0,0,1,0
33,324.5,1.8,2,2.1,3,2000,3,1,pen,0,harris,0,1,0,0,0
34,359.9,1.968,3,3,3,1980,1,2,act,1,harris,0,1,0,0,0
35,252.5,1.888,2,2,6,1920,-5,0,sld,0,edison,1,0,0,0,0
36,269,1.8,3,3,5,1947,-2.3,0,sld,0,edge,0,0,0,0,0
37,235,1.712,5,1,3,1948,-2.2,1,sld,0,edison,1,0,0,0,0
38,256.5,2.2,4,2.1,3,1966,-0.4,2,sld,0,edge,0,0,0,0,0
