year,resid,age,gender,race,educ1,urban,region,income,union,religion,martial_status,occup2,partyid7,str_partyid,dlikes,rlikes,presvote_2party,ideo7,perfin1
1992,1,41,2,4,2,2,2,4,2,1,1,2,7,4,-4,-2,2,5,1
1992,2,83,2,1,3,3,3,2,2,1,5,6,5,2,-1,4,2,5,2
1992,3,37,2,1,2,1,3,3,2,1,1,3,7,4,-1,0, ,6,2
1992,4,67,2,2,2,1,2,1,2,1,5,3,1,4,5,-5,1,4,2
1992,6,28,1,1,4,2,3,2,2,1,3,1,5,2,0,-1,2,3,2
1992,8,71,2,4,2,2,2,3,2,1,1,6,4,1,5,-5,1,2,2
1992,9,53,2,1,3,2,2,4,2,1,4,1,1,4,4,-1,1,1,3
1992,10,33,2,1,3,2,2,3,2,1,3,1,2,3,0,0, ,3,1
1992,12,60,1,1,3,2,2,2,2,1,1,2,7,4,-4,2,2,4,2
1992,16,53,2,1,4,3,2,4,2,1,1,1,7,4,-1,1,2,6,1
1992,17,23,1,1,2,3,2,3,2,2,1,3,6,3,0,0, ,4,2
1992,18,63,1,5,2,3,3,3,2,2,1,1,1,4,3,2, ,6,3
1992,20,79,2,1,4,3,3,3,2,1,1,1,7,4,0,3, ,4,2
1992,24,20,1,3,3,3,3,1,2,4,7,3,4,1,0,-1,1,3,2
1992,25,31,2,1,4,3,3,4,2,1,1,1,7,4,-2,3,2,6,2
1992,26,75,2,1,1,3,2,2,2,2,1,6,3,2,0,0, ,6,2
1992,27,48,2,3,4,2,3,4,2,2,1,1,5,2,-3,2,2,6,3
1992,29,83,2,1,1,3,3,1,2,1,2,3,4,1,0,1,2, ,2
1992,30,70,2,1,2,3,2,1,2,1,5, ,5,2,1,1, ,6,2
1992,31,29,2,1,3,3,2,3,1,2,1,3,1,4,5,-5,1,2,2
1992,32,90,1,1,1,3,2,1,1,4,1,3,6,3,-1,2, , ,2
1992,33,63,2,1,2,3,2,1,2,4,5,3,6,3,-3,3, ,4,1
1992,34,29,2,1,2,3,2,3,2,2,1,2,2,3,0,1, ,4,2
1992,35,68,1,1,2,1,3,2,1,1,1,3,1,4,4,0,1,6,2
1992,36,30,1,1,3,2,2,3,1,1,1,1,6,3,2,-2,1,6,3
1992,37,65,1,1,2,1,3,3,2,1,1,1,5,2,-1,3,2,6,3
1992,38,77,1,1, ,2,2,3,2,2,1,2,4,1,-2,-1,1,6,2
1992,39,58,1,1,4,2,2, ,2,2,3,1,5,2,-1,1,2,6,2
1992,40,39,2,1,4,1,2,2,2,1,2,1,2,3,2,-3,1,3,3
1992,41,33,1,1,3,2,2,3,2,2,1,3,5,2,-4,1,2,5,2
1992,42,33,2,1,3,2,3,3,2,1,3,1,6,3,1,-1, ,3,1
1992,43,33,1,1,3,2,3,4,2,4,2,3,6,3,0,-3,1,5,3
1992,45,69,2,1,2,2,2,3,1,1,1,6,1,4,3,1,1,4,2
1992,46,30,2,1,3,3,1,3,2,1,3,2,2,3,-1,-2,1,3,3
1992,47,31,2,4,3,3,3,4,2,1,1,2,6,3,1,1, ,6,1
1992,48,72,2,1,2,2,2,2,2,2,5,3,6,3,-3,-1,2,4,2
1992,49,23,1,1,3,3,3,4,1,4,1,3,2,3,0,-2, ,4,1
1992,50,39,1,1,4,3,3,4,2,1,1,1,7,4,-2,1,2,7,1
1992,51,41,2,1,2,2,1,3,1,1,5,4,5,2,0,-5, ,4,3
1992,52,36,1,1,4,2,2,3,2,1,3,1,1,4,0,-3,1,2,1
1992,53,64,1,1,2,1,2,4,2,1,1,3,7,4,-4,5,2,4,2
1992,54,39,1,4,3,2,3,4,2,2,1,4,4,1,-1,-2, ,4,1
1992,56,31,1,1,4,2,2,4,2,2,1,1,6,3,-5,2,2,3,1
1992,57,71,2,2,2,2,1,2,2,1,1,3,1,4,-2,-2,1,6,2
1992,58,35,2,1,3,3,2,3,2,1,1,2,7,4,-2,3,2,6,1
1992,59,89,2,1,1,2,2,2,2,1,5,1,7,4,-2,4,2,6,3
1992,60,20,1,1,2,1,4,3,2,1,2,3,2,3,0,0, ,2,1
1992,63,56,2,4,3,1,4,3,2,4,1,2,1,4,5,-5,1,2,3
1992,64,64,2,1,3,1,4,3,2,1,5,1,7,4,-5,3,2,6,2
1992,65,62,1,1,2,1,2,3,1,2,1,3,1,4,0,0,1,2,2
1992,66,52,1,1,4,1,2,3,2,1,1,2,2,3,0,-4, ,2,3
1992,67,66,2,2,1,2,3,3,2,2,1,3,2,3,2,-5, ,2,2
1992,68,69,2,2,4,1,3,2,2,1,5,1,1,4,4,-3,1,5,3
1992,69,33,1,1,4,2,3,5,2,1,1,1,7,4,-5,4,2,7,1
1992,70,69,2,1,2,1,1, ,1,2,1,6,1,4,0,-5,1,5,3
1992,71,23,1,1,3,2,2,3,2,1,1,2,5,2,1,4,2,5,1
1992,73,30,1,1,2,3,2,3,1,4,1,3,2,3,2,-4,1,2,3
1992,75,43,1,1,3,3,1,3,2,1,3,1,7,4,0,0,2,4,1
1992,77,67,2,1,2,2,2,2,2,1,3,6,7,4,-3,-3, ,6,2
1992,78,27,1,2,2,3,3,4,2,1,2,5,7,4,0,0,1,4,3
1992,80,80,1,1,2,3,1,1,2,4,1,3,7,4,-1,2,2,2,1
1992,81,37,1,1,2,3,1,4,2,2,1,3,1,4,2,-3,1,2,1
1992,82,34,2,1,2,3,3, ,2,1,2,3,2,3,0,0, , , 
1992,84,32,1,5,4,3,3,3,2,2,2,1,2,3,3,-3,1,2,1
1992,86,53,1,1,4,2,3,4,2,1,1,3,5,2,-1,0,2,6,1
1992,87,54,2,4,4,2,1,4,2,1,4,1,5,2,-2,1,2,6,3
1992,88,68,1,5,1,2,4,2,2,2,1,5,2,3,2,-2,1,6,3
1992,90,36,2,5,3,2,4,2,2,1,4,3,1,4,-1,-2,1,2,3
1992,91,35,2,1,4,2,2,3,2,2,1,2,7,4,-3,1,2,6,1
